Sale Price,City,Neighborhood,Pincode,Property Size (sqft),Lot Size,Bedrooms,Bathrooms,Year Built,Nearby Amenities,Market Trends
21644000,Coimbatore,Coimbatore Sector 6,63331,3908,4804,1,1,1990,"Parks, School",Stable
9716000,Tiruchirappalli,Tiruchirappalli Sector 1,63192,2223,2639,4,4,1996,,Declining
10973000,Tiruchirappalli,Tiruchirappalli Sector 5,63119,2541,3469,3,3,1996,"Parks, School",Stable
8033000,Ranipet,Ranipet Sector 6,63670,2833,3707,1,1,2008,"Parks, School",Stable
7019000,Thanjavur,Thanjavur Sector 6,63910,2481,2973,1,1,2007,,Rising
11205000,Tirunelveli,Tirunelveli Sector 2,61541,3882,4818,3,3,2020,"Parks, School",Rising
14289000,Erode,Erode Sector 8,62577,3951,4361,5,5,2002,"Temple, Gym",Stable
12568000,Theni,Theni Sector 1,62648,4299,4796,5,5,1997,"Hospital, Mall",Stable
3526000,Coimbatore,Coimbatore Sector 4,61252,619,1494,1,1,2016,,Rising
7037000,Coimbatore,Coimbatore Sector 9,62849,1234,2001,3,3,2024,"Market, Bus Stand",Stable
12625000,Theni,Theni Sector 9,64878,4400,5360,3,3,2006,"Hospital, Mall",Stable
11653000,Viluppuram,Viluppuram Sector 5,63685,4111,4817,1,1,2023,,Stable
24283000,Coimbatore,Coimbatore Sector 10,60908,4344,5114,4,4,1993,"Parks, School",Stable
2425000,Kallakurichi,Kallakurichi Sector 4,62323,732,1282,4,3,1995,"Market, Bus Stand",Stable
12219000,Theni,Theni Sector 10,63656,4313,5186,1,1,2004,"Temple, Gym",Stable
8320000,Vellore,Vellore Sector 5,61510,2211,2621,4,4,2021,"Hospital, Mall",Stable
5171000,Karur,Karur Sector 4,62476,1745,2733,3,2,2000,"Parks, School",Stable
5412000,Ramanathapuram,Ramanathapuram Sector 9,61879,1888,2321,1,1,2024,"Hospital, Mall",Declining
6486000,Karur,Karur Sector 3,63434,2266,2813,1,1,2018,"Parks, School",Stable
12258000,Erode,Erode Sector 2,64392,3456,4239,2,2,2011,,Rising
4395000,Kallakurichi,Kallakurichi Sector 4,64891,1467,2406,3,3,1990,,Rising
8695000,Krishnagiri,Krishnagiri Sector 3,62590,2933,3293,5,5,1994,,Declining
18702000,The Nilgiris,The Nilgiris Sector 4,62461,3092,3655,2,2,2002,"Market, Bus Stand",Stable
8016000,Thiruvarur,Thiruvarur Sector 7,61345,2724,2955,4,3,1994,"Parks, School",Stable
7132000,Mayiladuthurai,Mayiladuthurai Sector 2,63482,2468,3061,2,2,1993,"Temple, Gym",Declining
21506000,Chennai,Chennai Sector 2,62733,2481,2969,4,3,2013,"Hospital, Mall",Stable
17740000,Chengalpattu,Chengalpattu Sector 4,61329,3505,4173,2,2,2003,"Market, Bus Stand",Rising
19915000,Chennai,Chennai Sector 8,62144,2291,2740,4,3,2022,"Temple, Gym",Stable
5714000,Krishnagiri,Krishnagiri Sector 3,60981,1921,2378,3,3,1995,"Parks, School",Declining
11938000,Karur,Karur Sector 7,60501,4085,4668,5,4,1995,,Declining
10019000,Viluppuram,Viluppuram Sector 1,61784,3408,3932,5,4,1996,"Parks, School",Rising
34680000,Chennai,Chennai Sector 3,61334,4049,4743,3,2,1999,,Stable
3513000,Perambalur,Perambalur Sector 10,63101,1227,1543,1,1,2004,,Stable
7126000,Tirunelveli,Tirunelveli Sector 5,61822,2397,2920,4,4,2024,,Rising
11964000,Ramanathapuram,Ramanathapuram Sector 4,62319,4107,4662,5,5,2016,,Declining
6346000,Krishnagiri,Krishnagiri Sector 1,63933,2153,2736,3,3,2015,"Hospital, Mall",Rising
11122000,Perambalur,Perambalur Sector 8,60282,3931,4457,1,1,2012,"Parks, School",Declining
6294000,Thoothukudi,Thoothukudi Sector 2,63548,1929,2263,1,1,2018,"Temple, Gym",Declining
9974000,Viluppuram,Viluppuram Sector 9,63473,3423,3977,4,3,2009,"Hospital, Mall",Declining
11837000,Ranipet,Ranipet Sector 3,61910,4037,4828,5,5,1991,"Temple, Gym",Stable
10608000,Thiruvallur,Thiruvallur Sector 7,62459,3606,4542,5,4,2020,,Stable
3442000,Pudukkottai,Pudukkottai Sector 8,61546,1095,1976,4,4,2005,"Hospital, Mall",Stable
2191000,Thiruvarur,Thiruvarur Sector 3,64640,748,1248,1,1,1996,"Temple, Gym",Rising
12364000,Dindigul,Dindigul Sector 5,64290,4397,4697,1,1,2017,"Market, Bus Stand",Declining
9366000,Sivaganga,Sivaganga Sector 4,64328,3198,3813,4,3,2014,,Stable
7683000,Chennai,Chennai Sector 3,63597,862,1198,4,3,2003,"Temple, Gym",Stable
10054000,Ranipet,Ranipet Sector 2,64137,3567,4026,1,1,1996,"Hospital, Mall",Declining
8050000,Coimbatore,Coimbatore Sector 7,61732,1412,2134,3,2,1991,"Temple, Gym",Stable
5912000,Pudukkottai,Pudukkottai Sector 5,62477,2008,2214,3,3,2019,"Parks, School",Declining
8707000,Virudhunagar,Virudhunagar Sector 10,60139,3023,3237,2,1,1997,"Hospital, Mall",Stable
8272000,Thiruvarur,Thiruvarur Sector 7,64247,2872,3286,2,1,2019,"Parks, School",Stable
8391000,Erode,Erode Sector 6,61826,2343,3008,2,2,2021,"Parks, School",Declining
18576000,Chennai,Chennai Sector 5,64383,2175,3135,1,1,2020,"Market, Bus Stand",Rising
5322000,Nagapattinam,Nagapattinam Sector 9,63381,1860,2362,1,1,2000,"Hospital, Mall",Declining
15345000,Madurai,Madurai Sector 9,60891,3359,3765,2,2,2004,"Temple, Gym",Stable
10962000,Perambalur,Perambalur Sector 3,63706,3802,4367,3,2,2002,"Temple, Gym",Rising
3283000,Tiruvannamalai,Tiruvannamalai Sector 1,63624,1005,1423,5,5,1996,"Hospital, Mall",Stable
6845000,Sivaganga,Sivaganga Sector 3,61664,2372,3135,2,1,2011,"Market, Bus Stand",Rising
7372000,Virudhunagar,Virudhunagar Sector 6,60448,2535,2810,3,2,1999,"Market, Bus Stand",Stable
11911000,Virudhunagar,Virudhunagar Sector 9,61588,4158,4427,3,2,2007,"Temple, Gym",Stable
4911000,Tenkasi,Tenkasi Sector 2,61938,1727,2360,1,1,2014,,Declining
4641000,Namakkal,Namakkal Sector 2,62214,1489,2029,5,5,2006,"Temple, Gym",Stable
3759000,Thoothukudi,Thoothukudi Sector 2,64109,1029,1899,5,4,2008,,Rising
11250000,Tiruvannamalai,Tiruvannamalai Sector 2,61734,3908,4356,3,3,2015,"Parks, School",Stable
7805000,Vellore,Vellore Sector 10,64407,2113,2597,2,1,2007,"Temple, Gym",Stable
10791000,Thiruvallur,Thiruvallur Sector 8,64376,3700,4020,4,4,1994,,Stable
24562000,Coimbatore,Coimbatore Sector 8,64205,4446,5206,1,1,1996,"Temple, Gym",Stable
8089000,Ramanathapuram,Ramanathapuram Sector 6,61286,2822,3139,2,2,2023,"Hospital, Mall",Rising
8937000,Dharmapuri,Dharmapuri Sector 4,63803,3118,3354,2,1,2013,"Hospital, Mall",Stable
2783000,Viluppuram,Viluppuram Sector 6,61269,862,1343,4,3,2008,"Market, Bus Stand",Stable
9255000,Erode,Erode Sector 3,64939,2555,2839,3,3,1998,"Hospital, Mall",Stable
11329000,Perambalur,Perambalur Sector 8,64705,3928,4927,3,2,2022,"Hospital, Mall",Rising
10039000,Thiruvarur,Thiruvarur Sector 3,60211,3513,4207,2,2,2004,"Hospital, Mall",Stable
23025000,Coimbatore,Coimbatore Sector 2,60425,4172,5061,1,1,2007,"Temple, Gym",Stable
5443000,Tiruppur,Tiruppur Sector 7,63567,1348,1968,1,1,1990,"Parks, School",Rising
11932000,Tiruchirappalli,Tiruchirappalli Sector 9,64147,2732,2973,5,4,1998,,Declining
4344000,Karur,Karur Sector 1,62463,1455,2453,3,3,2001,,Stable
6552000,Sivaganga,Sivaganga Sector 1,63227,2301,2770,1,1,2013,"Hospital, Mall",Stable
11955000,Virudhunagar,Virudhunagar Sector 7,60542,4164,5032,3,2,1997,"Market, Bus Stand",Declining
15943000,Tiruppur,Tiruppur Sector 9,60608,3944,4459,2,1,2016,"Hospital, Mall",Rising
9315000,Tirupathur,Tirupathur Sector 8,62281,3149,3921,5,5,2017,"Hospital, Mall",Stable
13688000,Madurai,Madurai Sector 5,64998,2928,3833,5,5,2024,"Parks, School",Stable
6662000,Thanjavur,Thanjavur Sector 4,60257,2227,3061,4,3,2004,,Stable
2875000,Tirunelveli,Tirunelveli Sector 4,62622,932,1692,3,3,2014,"Temple, Gym",Stable
6358000,The Nilgiris,The Nilgiris Sector 10,60788,1015,1614,3,2,2004,"Temple, Gym",Stable
9567000,Ranipet,Ranipet Sector 2,64235,3378,3873,1,1,2015,"Temple, Gym",Stable
5547000,Virudhunagar,Virudhunagar Sector 3,62762,1904,2641,2,1,2015,"Parks, School",Declining
11216000,Theni,Theni Sector 1,64315,3816,4259,5,5,2017,"Market, Bus Stand",Rising
7265000,Karur,Karur Sector 4,61775,2506,2781,2,1,1996,"Parks, School",Stable
12762000,Tirunelveli,Tirunelveli Sector 2,61407,4483,5011,2,2,2003,,Stable
3181000,Virudhunagar,Virudhunagar Sector 9,60158,946,1566,5,5,2016,"Parks, School",Rising
2081000,Viluppuram,Viluppuram Sector 7,64810,656,1589,2,1,1991,,Rising
3987000,Erode,Erode Sector 7,64517,1124,1697,1,1,2020,"Temple, Gym",Stable
5097000,Thiruvallur,Thiruvallur Sector 5,63258,1776,2204,1,1,1999,,Stable
11233000,Krishnagiri,Krishnagiri Sector 9,61202,3858,4111,4,3,2024,"Market, Bus Stand",Stable
8432000,Namakkal,Namakkal Sector 8,63181,2913,3671,3,3,2006,,Stable
10481000,Tiruvannamalai,Tiruvannamalai Sector 8,61648,3585,3992,4,4,2006,"Market, Bus Stand",Stable
2532000,Thoothukudi,Thoothukudi Sector 7,61427,675,1360,4,3,2022,,Stable
3473000,Theni,Theni Sector 1,60661,1072,1608,5,4,1990,"Parks, School",Stable
13559000,The Nilgiris,The Nilgiris Sector 6,61540,2247,2847,1,1,2023,"Parks, School",Rising
26975000,The Nilgiris,The Nilgiris Sector 5,60615,4450,5293,3,2,1996,,Stable
7631000,Salem,Salem Sector 8,61803,1874,2352,5,5,1999,"Parks, School",Stable
10955000,Karur,Karur Sector 5,63480,3716,4115,5,5,2006,"Temple, Gym",Stable
6770000,Karur,Karur Sector 9,61282,2361,2769,2,1,1999,"Market, Bus Stand",Stable
15022000,Vellore,Vellore Sector 2,63997,4126,4405,2,1,2003,"Hospital, Mall",Rising
6319000,Tiruvannamalai,Tiruvannamalai Sector 7,62199,2166,2794,3,3,2020,"Temple, Gym",Rising
5657000,Cuddalore,Cuddalore Sector 5,61193,1847,2812,5,4,2003,,Stable
5518000,Kallakurichi,Kallakurichi Sector 4,64983,1819,2186,4,3,1993,"Hospital, Mall",Rising
21009000,Chengalpattu,Chengalpattu Sector 10,61981,4164,4591,2,2,2005,"Parks, School",Stable
8182000,Nagapattinam,Nagapattinam Sector 6,62415,2754,3679,5,4,2023,"Hospital, Mall",Stable
2383000,Dharmapuri,Dharmapuri Sector 7,64118,672,970,5,5,1998,"Temple, Gym",Stable
15205000,Kancheepuram,Kancheepuram Sector 6,64473,3105,3600,3,2,2010,"Temple, Gym",Declining
4426000,Ariyalur,Ariyalur Sector 4,63679,1468,2293,3,2,1994,"Temple, Gym",Rising
9380000,Coimbatore,Coimbatore Sector 6,60549,1615,1879,5,5,1993,"Market, Bus Stand",Rising
9713000,Thanjavur,Thanjavur Sector 9,62342,3301,3716,5,4,1997,"Parks, School",Declining
12245000,Dindigul,Dindigul Sector 6,63237,4261,4655,3,3,2023,"Temple, Gym",Stable
8634000,Namakkal,Namakkal Sector 1,62952,2935,3424,4,3,2005,"Parks, School",Stable
4820000,Namakkal,Namakkal Sector 2,64118,1653,2466,2,2,1992,"Temple, Gym",Stable
15134000,The Nilgiris,The Nilgiris Sector 1,62153,2466,3057,3,3,1994,"Temple, Gym",Rising
6127000,Madurai,Madurai Sector 2,63126,1275,2065,4,4,1991,"Hospital, Mall",Rising
6012000,Tirunelveli,Tirunelveli Sector 8,61272,1964,2817,5,5,2015,"Market, Bus Stand",Rising
10498000,Cuddalore,Cuddalore Sector 1,61313,3618,3975,4,4,2005,,Stable
8705000,Viluppuram,Viluppuram Sector 2,63248,2939,3279,5,4,2018,"Market, Bus Stand",Declining
12609000,Sivaganga,Sivaganga Sector 8,63722,4432,5054,2,2,2014,"Market, Bus Stand",Rising
9437000,Ranipet,Ranipet Sector 1,63454,3300,3951,2,1,2021,"Hospital, Mall",Rising
11216000,Namakkal,Namakkal Sector 3,63463,3908,4254,3,2,2000,"Hospital, Mall",Stable
5639000,Karur,Karur Sector 2,61292,1838,2364,5,5,1994,"Temple, Gym",Stable
11556000,Kanniyakumari,Kanniyakumari Sector 7,61142,3972,4655,4,3,2007,,Rising
9218000,Viluppuram,Viluppuram Sector 8,62800,3148,3757,4,4,1997,"Parks, School",Rising
13588000,Vellore,Vellore Sector 10,61389,3662,4222,4,4,1993,"Temple, Gym",Declining
11568000,Thanjavur,Thanjavur Sector 4,62142,3954,4427,5,4,2014,"Temple, Gym",Declining
3322000,Kallakurichi,Kallakurichi Sector 4,61851,1081,1889,3,2,2008,,Rising
8408000,Krishnagiri,Krishnagiri Sector 4,63749,2882,3286,3,2,2007,"Temple, Gym",Declining
9031000,Tiruppur,Tiruppur Sector 8,64625,2178,2954,3,2,1996,"Parks, School",Stable
10566000,Pudukkottai,Pudukkottai Sector 1,62844,3715,4152,2,2,1995,"Temple, Gym",Stable
10838000,Viluppuram,Viluppuram Sector 4,62471,3711,4363,4,3,2008,"Hospital, Mall",Stable
14154000,Thoothukudi,Thoothukudi Sector 4,61825,4341,5045,3,2,2020,"Market, Bus Stand",Rising
13363000,Erode,Erode Sector 8,60638,3704,3983,4,4,2015,"Hospital, Mall",Stable
2674000,Mayiladuthurai,Mayiladuthurai Sector 3,62888,821,1712,4,3,2021,"Temple, Gym",Rising
11314000,Tirunelveli,Tirunelveli Sector 2,64299,3901,4235,4,4,2024,"Parks, School",Rising
12791000,Kanniyakumari,Kanniyakumari Sector 4,63478,4404,4743,5,5,2000,"Temple, Gym",Stable
9072000,Thiruvarur,Thiruvarur Sector 9,64172,3111,4041,4,3,2005,,Stable
14540000,Vellore,Vellore Sector 8,62396,4003,4521,1,1,2014,"Parks, School",Stable
3326000,Tirunelveli,Tirunelveli Sector 7,60167,1056,1532,4,4,1998,"Parks, School",Stable
8562000,Tiruppur,Tiruppur Sector 4,61271,2113,2523,1,1,2013,"Hospital, Mall",Stable
4394000,Kanniyakumari,Kanniyakumari Sector 9,64246,1515,2334,2,2,2006,"Temple, Gym",Rising
10508000,Virudhunagar,Virudhunagar Sector 4,60443,3645,3946,3,3,2011,"Market, Bus Stand",Stable
12609000,Thiruvarur,Thiruvarur Sector 8,62215,4478,5107,1,1,2006,,Stable
4884000,Ranipet,Ranipet Sector 1,62486,1557,1788,5,5,2005,,Declining
7325000,Ramanathapuram,Ramanathapuram Sector 9,64915,2467,3124,4,3,1991,"Parks, School",Stable
3724000,Tiruppur,Tiruppur Sector 1,60231,885,1593,2,2,2023,"Parks, School",Declining
6525000,Karur,Karur Sector 4,60306,2153,3002,5,4,2004,"Parks, School",Declining
12088000,Salem,Salem Sector 3,64403,3104,3655,3,2,2017,"Temple, Gym",Stable
10473000,Cuddalore,Cuddalore Sector 1,63568,3653,4530,2,1,2022,"Market, Bus Stand",Declining
